
43212069,0.072,0.857,-0.290,0.091,0.051,-0.005;
43236241,0.079,0.869,-0.300,0.093,0.039,-0.002;
43260518,0.079,0.865,-0.300,0.114,0.051,-0.008;
43280638,0.075,0.865,-0.286,0.144,0.050,0.001;
43305010,0.064,0.865,-0.286,0.151,0.024,-0.005;
43329584,0.075,0.865,-0.300,0.169,0.013,-0.002;
43350893,0.075,0.861,-0.293,0.148,0.040,0.000;
43375060,0.068,0.857,-0.297,0.127,0.027,0.004;
43399248,0.075,0.869,-0.300,0.117,0.034,-0.004;
43423339,0.075,0.857,-0.307,0.155,0.021,0.000;
43447418,0.075,0.857,-0.321,0.141,0.019,0.005;
43471682,0.068,0.861,-0.304,0.141,0.028,-0.004;
43495847,0.079,0.857,-0.311,0.152,0.047,-0.002;
43520008,0.072,0.857,-0.314,0.157,0.019,-0.006;
43544194,0.068,0.857,-0.318,0.160,0.025,-0.006;
43568480,0.079,0.857,-0.314,0.141,0.036,-0.011;
43592649,0.075,0.857,-0.321,0.114,0.032,-0.015;
43613723,0.079,0.857,-0.314,0.086,0.032,-0.011;
43637925,0.072,0.861,-0.325,0.091,0.030,-0.011;
43662258,0.068,0.857,-0.321,0.093,0.016,-0.005;
43686396,0.075,0.854,-0.314,0.106,0.018,-0.011;
43710602,0.083,0.857,-0.325,0.101,0.018,-0.013;
43734778,0.072,0.850,-0.318,0.109,0.011,-0.008;
43759102,0.075,0.854,-0.325,0.108,0.019,-0.005;
43783258,0.075,0.854,-0.321,0.096,0.013,-0.006;
43803368,0.075,0.854,-0.321,0.064,0.013,-0.008;
43828121,0.075,0.850,-0.318,0.083,0.012,-0.010;
43849232,0.064,0.857,-0.318,0.090,0.011,-0.008;
43873644,0.068,0.850,-0.318,0.072,0.011,-0.012;
43897766,0.072,0.857,-0.325,0.072,0.006,-0.011;
43921996,0.075,0.857,-0.328,0.087,0.011,-0.005;
43946147,0.075,0.846,-0.321,0.092,0.022,-0.011;
43970479,0.079,0.854,-0.318,0.061,0.013,-0.012;
43994632,0.072,0.854,-0.321,0.078,0.017,-0.012;
44018860,0.072,0.854,-0.318,0.072,0.034,-0.017;
44043011,0.079,0.850,-0.335,0.062,0.033,-0.015;
44067393,0.079,0.854,-0.342,0.055,0.022,-0.011;
44091570,0.072,0.854,-0.335,0.084,0.008,-0.010;
44112684,0.075,0.850,-0.321,0.102,0.010,-0.007;
44136845,0.072,0.857,-0.325,0.098,0.008,-0.010;
44160898,0.072,0.857,-0.332,0.074,0.025,-0.013;
44185251,0.064,0.857,-0.318,0.089,0.016,-0.012;
44209407,0.064,0.854,-0.328,0.084,0.001,-0.005;
44233712,0.072,0.839,-0.335,0.072,0.024,-0.015;
44257806,0.075,0.865,-0.321,0.106,0.038,-0.012;
44282111,0.068,0.850,-0.328,0.076,0.021,-0.006;
44306260,0.064,0.846,-0.325,0.092,0.018,-0.004;
44330563,0.064,0.850,-0.321,0.121,0.038,-0.002;
44351933,0.068,0.846,-0.318,0.132,0.035,0.002;
44376370,0.075,0.850,-0.311,0.137,0.013,0.007;
44400497,0.068,0.842,-0.311,0.129,0.000,0.005;
44424761,0.068,0.850,-0.318,0.109,0.008,0.015;
44448891,0.072,0.850,-0.328,0.107,0.017,0.011;
44472943,0.075,0.857,-0.325,0.103,0.001,0.013;
44497201,0.072,0.842,-0.332,0.074,0.006,0.011;
44521472,0.075,0.850,-0.346,0.061,0.027,-0.002;
44545662,0.068,0.850,-0.349,0.084,0.046,-0.007;
44569730,0.079,0.842,-0.349,0.062,0.030,-0.002;
44594024,0.075,0.857,-0.332,0.063,-0.005,-0.001;
44614995,0.075,0.850,-0.339,0.076,0.011,0.000;
44639253,0.079,0.846,-0.356,0.040,0.033,-0.005;
44663395,0.068,0.846,-0.360,0.005,0.022,-0.002;
44687714,0.079,0.850,-0.346,0.013,0.011,0.005;
44711868,0.068,0.854,-0.321,0.036,-0.011,0.002;
44736128,0.072,0.857,-0.332,0.074,0.013,-0.002;
44760261,0.068,0.846,-0.335,0.029,0.023,-0.008;
44784539,0.072,0.846,-0.342,0.004,0.025,-0.005;
44808696,0.083,0.854,-0.335,0.033,0.004,-0.001;
44832942,0.083,0.865,-0.328,0.087,0.000,-0.004;
44853861,0.072,0.865,-0.339,0.080,0.017,-0.002;
44877976,0.072,0.846,-0.335,0.049,0.025,-0.007;
44902302,0.075,0.839,-0.335,0.044,0.012,-0.004;
44926675,0.072,0.842,-0.335,0.044,0.012,-0.016;
44950771,0.064,0.854,-0.328,0.030,-0.005,-0.010;
44974879,0.068,0.857,-0.318,0.024,-0.010,-0.006;
44999169,0.079,0.857,-0.332,0.039,0.019,-0.015;
45023312,0.079,0.857,-0.321,0.042,0.016,-0.018;
45047536,0.079,0.861,-0.335,0.058,-0.001,-0.005;
45071754,0.068,0.857,-0.335,0.032,0.013,-0.006;
